name,HAIR,SEX,Year
Spider-Man (Peter Parker),Brown Hair,Male Characters,1962
Captain America (Steven Rogers),White Hair,Male Characters,1941
"Wolverine (James \""Logan\"" Howlett)",Black Hair,Male Characters,1974
"Iron Man (Anthony \""Tony\"" Stark)",Black Hair,Male Characters,1963
Thor (Thor Odinson),Blond Hair,Male Characters,1950
Benjamin Grimm (Earth-616),No Hair,Male Characters,1961
Reed Richards (Earth-616),Brown Hair,Male Characters,1961
Hulk (Robert Bruce Banner),Brown Hair,Male Characters,1962
Scott Summers (Earth-616),Brown Hair,Male Characters,1963
Jonathan Storm (Earth-616),Blond Hair,Male Characters,1961
Henry McCoy (Earth-616),Blue Hair,Male Characters,1963
Susan Storm (Earth-616),Blond Hair,Female Characters,1961
Namor McKenzie (Earth-616),Black Hair,Male Characters,
Ororo Munroe (Earth-616),White Hair,Female Characters,1975
Clinton Barton (Earth-616),Blond Hair,Male Characters,1964
Matthew Murdock (Earth-616),Red Hair,Male Characters,1964
Stephen Strange (Earth-616),Black Hair,Male Characters,1963
Mary Jane Watson (Earth-616),Red Hair,Female Characters,1965
John Jonah Jameson (Earth-616),Black Hair,Male Characters,1963
Robert Drake (Earth-616),Brown Hair,Male Characters,1963
Henry Pym (Earth-616),Blond Hair,Male Characters,1962
Charles Xavier (Earth-616),Bald,Male Characters,1963
Warren Worthington III (Earth-616),Blond Hair,Male Characters,1963
Piotr Rasputin (Earth-616),Black Hair,Male Characters,1975
Wanda Maximoff (Earth-616),Brown Hair,Female Characters,1964
Nicholas Fury (Earth-616),Brown Hair,Male Characters,1963
Janet van Dyne (Earth-616),Auburn Hair,Female Characters,1963
Jean Grey (Earth-616),Red Hair,Female Characters,1963
Natalia Romanova (Earth-616),Red Hair,Female Characters,1964
Kurt Wagner (Earth-616),Blue Hair,Male Characters,1975
Vision (Earth-616),No Hair,Male Characters,1968
May Reilly (Earth-616),Grey Hair,Female Characters,1962
Katherine Pryde (Earth-616),Brown Hair,Female Characters,1980
Carol Danvers (Earth-616),Blond Hair,Female Characters,1968
Jennifer Walters (Earth-616),Brown Hair,Female Characters,1980
Emma Frost (Earth-616),Brown Hair,Female Characters,1980
Frank Castle (Earth-616),Black Hair,Male Characters,1974
Luke Cage (Earth-616),Black Hair,Male Characters,1972
Rogue (Anna Marie) (Earth-616),Auburn Hair,Female Characters,
Conan (Earth-616),Black Hair,Male Characters,1970
Joseph Robertson (Earth-616),White Hair,Male Characters,1967
Pietro Maximoff (Earth-616),Silver Hair,Male Characters,1964
Hercules (Earth-616),Brown Hair,Male Characters,1965
Victor von Doom (Earth-616),Brown Hair,Male Characters,1962
Max Eisenhardt (Earth-616),Bald,Male Characters,1963
Elizabeth Braddock (Earth-616),Purple Hair,Female Characters,1976
Norrin Radd (Earth-616),Bald,Male Characters,1966
Norman Osborn (Earth-616),Auburn Hair,Male Characters,1964
Eugene Thompson (Earth-616),Strawberry Blond Hair,Male Characters,1962
Simon Williams (Earth-616),Grey Hair,Male Characters,1964
Samuel Guthrie (Earth-616),Blond Hair,Male Characters,1982
James Buchanan Barnes (Earth-616),Brown Hair,Male Characters,1941
Remy LeBeau (Earth-616),Brown Hair,Male Characters,1990
Daniel Rand (Earth-616),Blond Hair,Male Characters,1974
Nathan Summers (Earth-616),White Hair,Male Characters,1986
Elizabeth Brant (Earth-616),Brown Hair,Female Characters,1963
Richard Jones (Earth-616),Brown Hair,Male Characters,1962
Edwin Jarvis (Earth-616),White Hair,Male Characters,1964
Alexander Summers (Earth-616),Blond Hair,Male Characters,1969
Patricia Walker (Earth-616),Red Hair,Female Characters,1944
Human Torch (Android) (Earth-616),Blond Hair,Male Characters,1939
Loki Laufeyson (Earth-616),Black Hair,Genderfluid Characters,1949
Franklin Nelson (Earth-616),Bald,Male Characters,1964
Brian Braddock (Earth-616),Blond Hair,Male Characters,1976
Otto Octavius (Earth-616),Brown Hair,Male Characters,1963
James Rhodes (Earth-616),Brown Hair,Male Characters,1979
Timothy Dugan (Earth-616),Red Hair,Male Characters,1963
Crystalia Amaquelin (Earth-616),Strawberry Blond Hair,Female Characters,1965
Samuel Wilson (Earth-616),Black Hair,Male Characters,1969
Wilson Fisk (Earth-616),Bald,Male Characters,1967
Odin Borson (Earth-616),White Hair,Male Characters,1962
Deadpool (Wade Wilson),Bald,Male Characters,1991
Dane Whitman (Earth-616),Brown Hair,Male Characters,1967
Harold Osborn (Earth-616),Brown Hair,Male Characters,1965
Franklin Richards (Earth-616),Blond Hair,Male Characters,1968
Jessica Drew (Earth-616),Auburn Hair,Female Characters,1977
Roberto da Costa (Earth-616),Black Hair,Male Characters,1982
Rahne Sinclair (Earth-616),Red Hair,Female Characters,1982
Elizabeth Ross (Earth-616),Black Hair,Female Characters,1962
Lorna Dane (Earth-616),Green Hair,Female Characters,1968
Blaine Colt (Earth-616),Blond Hair,Male Characters,
Johnathon Blaze (Earth-616),Reddish Blond Hair,Male Characters,1972
Sif (Earth-616),Black Hair,Female Characters,1964
Red Hulk (Thaddeus Ross),Black Hair,Male Characters,1962
Jubilation Lee (Earth-616),Black Hair,Female Characters,1989
Volstagg (Earth-616),Red Hair,Male Characters,1965
Balder Odinson (Earth-616),Brown Hair,Male Characters,1962
Galactus (Earth-616),No Hair,Male Characters,1966
Danielle Moonstar (Earth-616),Black Hair,Female Characters,1982
Marc Spector (Earth-616),Brown Hair,Male Characters,1975
Gwendolyne Stacy (Earth-616),Blond Hair,Female Characters,1965
Medusalith Amaquelin (Earth-616),Red Hair,Female Characters,1965
Sabretooth (Victor Creed),Blond Hair,Male Characters,1977
